gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,64,512,6144,ck,8,3,7.5775,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,53.14,475.68,0.0001
gfx950,256,64,576,6144,ck,8,3,10.3026,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,43.97,388.82,0.0004
gfx950,256,64,1024,6144,ck,8,3,11.2212,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,71.77,607.4,0.0004
gfx950,256,64,2048,6144,ck,8,3,12.5726,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,128.1,1052.95,0.0001
gfx950,256,64,4608,6144,ck,8,3,19.4299,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,186.51,1507.71,0.0002
gfx950,256,64,6144,4096,ck,8,3,16.703,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,192.85,1569.44,0.0
gfx950,256,64,6144,4608,ck,18,0,17.8005,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,203.58,1651.24,0.0
gfx950,256,64,9216,6144,ck,18,0,23.4061,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,309.65,2486.36,0.0
gfx950,256,96,512,6144,ck,8,3,8.2089,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,73.58,467.04,0.0001
gfx950,256,96,576,6144,ck,8,3,10.215,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,66.52,415.01,0.0004
gfx950,256,96,1024,6144,ck,8,3,11.6816,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,103.41,605.9,0.0002
gfx950,256,96,2048,6144,ck,8,3,15.1919,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,159.03,892.97,0.0001
gfx950,256,96,6144,256,cktile,14,0,3.3504,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_4,90.14,828.88,0.0
gfx950,256,96,6144,512,ck,18,0,4.9683,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,121.57,880.49,0.0
