M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
3130,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3132,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3143,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3145,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3147,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3148,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3171,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3193,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3203,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3206,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3209,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3221,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3229,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3234,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3248,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3262,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3267,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3275,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3284,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3291,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3293,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3301,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3331,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3345,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3376,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3383,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3389,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3405,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3419,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3424,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3432,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3459,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3461,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3473,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3477,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3488,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3491,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3501,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3504,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3509,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3530,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3547,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3549,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3559,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3561,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
3585,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
